selling_price,fuel,km/year,Rent/Own
600000,Diesel,11111,0
250000,Petrol,11500,0
550000,Petrol,5000,1
850000,Petrol,4166,1
365000,CNG,19500,0
260000,Petrol,5833,0
250000,Petrol,14285,0
1650000,Petrol,8333,1
600000,Diesel,11111,0
250000,Petrol,11500,0
550000,Petrol,5000,1
850000,Petrol,4166,1
365000,CNG,19500,0
260000,Petrol,5833,0
250000,Petrol,14285,0
1650000,Petrol,8333,1
585000,Petrol,4000,1
1195000,Diesel,2500,1
1964999,Diesel,4000,1
1425000,Diesel,7375,1
975000,Diesel,1500,1
1190000,Diesel,17590,0
930000,Petrol,4833,1
525000,Petrol,5000,1
1735000,Diesel,6250,1
900000,Petrol,10000,1
1300000,Diesel,13333,1
1400000,Petrol,5000,1
850000,Petrol,10818,0
625000,Diesel,4444,1
1050000,Diesel,7142,1
500000,Petrol,7500,1
725000,Diesel,4625,1
401000,Petrol,3400,1
750000,Diesel,9666,1
310000,Petrol,9333,0
665000,Diesel,9200,0
465000,Diesel,10000,0
675000,Diesel,12857,0
300000,Petrol,10000,0
525000,Diesel,13142,0
350000,Diesel,23000,0
570000,Diesel,15000,0
300000,Petrol,10333,0
925000,Diesel,8750,1
750000,Diesel,20000,0
450000,Diesel,13333,0
650000,Diesel,12500,0
495000,Petrol,2391,1
371000,Petrol,3333,1
1025000,Petrol,2250,1
8150000,Diesel,1625,1
750000,Diesel,11666,0
600000,Diesel,15000,0
325000,Diesel,7775,0
2800000,Diesel,6125,1
450000,Petrol,6250,0
1150000,Diesel,6625,1
210000,Petrol,5291,0
4500000,Petrol,3266,1
2750000,Diesel,3250,1
1975000,Diesel,7000,1
2500000,Diesel,5333,1
628000,Diesel,30000,0
600000,Diesel,9090,0
399000,Petrol,7500,1
750000,Diesel,29000,0
750000,Petrol,7500,1
315000,Petrol,4000,1
600000,Diesel,6666,0
350000,Petrol,6250,1
780000,Diesel,12000,0
690000,Petrol,16000,0
550000,Petrol,6666,1
500000,Diesel,11111,0
490000,Petrol,10000,0
1000000,Diesel,600,1
530000,Petrol,2378,1
840000,Diesel,12303,1
229999,Petrol,6666,0
200000,Petrol,11666,0
250000,Diesel,24000,0
540000,Petrol,833,1
700000,Petrol,3333,1
525000,Diesel,16666,0
430000,Diesel,16000,0
800000,Diesel,11666,1
210000,Petrol,4136,0
400000,Diesel,20000,0
225000,Petrol,5000,0
210000,LPG,12857,0
240000,Petrol,120000,0
300000,Diesel,29166,0
620000,Petrol,5142,1
500000,Diesel,3750,1
550000,Petrol,15000,0
320000,Petrol,8000,0
810000,Petrol,7500,1
282000,CNG,40000,0
600000,Petrol,5000,1
640000,Petrol,3833,1
380000,Petrol,7385,0
650000,Petrol,23333,0
430000,Petrol,10000,0
800000,Diesel,7500,1
650000,Diesel,14000,0
390000,Petrol,6000,1
1500000,Diesel,4375,1
600000,Diesel,20090,0
650000,Diesel,8333,1
2900000,Diesel,10000,1
425000,Diesel,2500,1
265000,Petrol,7857,0
890000,Petrol,378,1
365000,Petrol,6875,0
350000,Petrol,6142,0
685000,Diesel,12000,0
940000,Diesel,883,1
1000000,Diesel,10000,1
1150000,Petrol,7500,1
590000,Diesel,10833,0
800000,Diesel,10000,1
385000,Diesel,6444,0
2000000,Diesel,1875,1
235000,Petrol,6000,0
640000,Diesel,14000,0
1500000,Diesel,5000,1
700000,Petrol,2500,1
390000,Petrol,15000,0
300000,Diesel,21428,0
300000,Diesel,23333,0
1050000,Diesel,10000,1
300000,Diesel,21428,0
465000,Diesel,8333,0
434999,Petrol,3333,1
500000,Petrol,10666,0
200000,Petrol,3333,1
625000,Petrol,13000,0
800000,Petrol,5620,1
490000,Diesel,16500,0
880000,Diesel,16000,0
290000,Petrol,6125,0
360000,Petrol,8833,0
685000,Diesel,18000,0
300000,Petrol,4166,0
680000,Diesel,11000,1
450000,Diesel,17500,0
600000,Petrol,2857,1
860000,Diesel,17500,0
282000,Petrol,5000,1
300000,Petrol,4166,0
550000,Diesel,3625,1
450000,Diesel,15000,0
350000,Petrol,5000,0
350000,Petrol,5000,1
1400000,Diesel,25000,0
360000,Petrol,1333,1
1300000,Diesel,3333,1
800000,Diesel,2500,1
229999,Petrol,10000,0
315000,Petrol,5857,0
700000,Petrol,8000,1
530000,Petrol,2708,1
624000,Diesel,4893,1
250000,Petrol,4166,0
585000,Diesel,10200,0
500000,Petrol,4166,1
350000,Petrol,4285,1
495000,Diesel,11428,0
500000,Petrol,12500,0
430000,Diesel,33333,0
345000,Petrol,5500,0
500000,Petrol,1666,1
425000,Petrol,9800,0
350000,Diesel,8000,0
900000,Diesel,8000,1
700000,Diesel,5292,1
2000000,Diesel,20902,0
1000000,Diesel,10000,1
1375000,Diesel,6000,1
1800000,Diesel,28288,0
525000,Petrol,15555,0
850000,Diesel,23646,0
